,num,time,scale,min_lifetime,derror,terror,epair,spair,eg,sg,r
0,10000,40,0.001,3,100.0,100.0,6682,79234,1204,308,<function recall at 0x7fa67b33a0d0>
1,10000,40,0.002,3,100.0,100.0,6682,124053,1204,133,<function recall at 0x7fa67b33a0d0>
2,10000,40,0.001,4,100.0,100.0,3844,53124,301,299,<function recall at 0x7fa67b33a0d0>
3,10000,40,0.002,4,100.0,100.0,3844,96297,301,204,<function recall at 0x7fa67b33a0d0>
4,10000,40,0.001,5,100.0,100.0,1598,33291,46,257,<function recall at 0x7fa67b33a0d0>
5,10000,40,0.002,5,100.0,100.0,1598,71721,46,223,<function recall at 0x7fa67b33a0d0>
6,10000,40,0.001,6,100.0,100.0,544,18843,3,162,<function recall at 0x7fa67b33a0d0>
7,10000,40,0.002,6,100.0,100.0,544,50086,3,188,<function recall at 0x7fa67b33a0d0>
8,10000,40,0.001,7,100.0,100.0,127,9513,0,92,<function recall at 0x7fa67b33a0d0>
9,10000,40,0.002,7,100.0,100.0,127,32711,0,148,<function recall at 0x7fa67b33a0d0>
10,10000,40,0.001,3,100.0,200.0,8128,79234,1497,308,<function recall at 0x7fa67b33a0d0>
11,10000,40,0.002,3,100.0,200.0,8128,124053,1497,133,<function recall at 0x7fa67b33a0d0>
12,10000,40,0.001,4,100.0,200.0,6107,53124,630,299,<function recall at 0x7fa67b33a0d0>
13,10000,40,0.002,4,100.0,200.0,6107,96297,630,204,<function recall at 0x7fa67b33a0d0>
14,10000,40,0.001,5,100.0,200.0,3748,33291,177,257,<function recall at 0x7fa67b33a0d0>
15,10000,40,0.002,5,100.0,200.0,3748,71721,177,223,<function recall at 0x7fa67b33a0d0>
16,10000,40,0.001,6,100.0,200.0,1868,18843,28,162,<function recall at 0x7fa67b33a0d0>
17,10000,40,0.002,6,100.0,200.0,1868,50086,28,188,<function recall at 0x7fa67b33a0d0>
18,10000,40,0.001,7,100.0,200.0,810,9513,8,92,<function recall at 0x7fa67b33a0d0>
19,10000,40,0.002,7,100.0,200.0,810,32711,8,148,<function recall at 0x7fa67b33a0d0>
20,10000,40,0.001,3,100.0,300.0,8448,79234,1520,308,<function recall at 0x7fa67b33a0d0>
21,10000,40,0.002,3,100.0,300.0,8448,124053,1520,133,<function recall at 0x7fa67b33a0d0>
22,10000,40,0.001,4,100.0,300.0,6750,53124,718,299,<function recall at 0x7fa67b33a0d0>
23,10000,40,0.002,4,100.0,300.0,6750,96297,718,204,<function recall at 0x7fa67b33a0d0>
24,10000,40,0.001,5,100.0,300.0,4612,33291,238,257,<function recall at 0x7fa67b33a0d0>
25,10000,40,0.002,5,100.0,300.0,4612,71721,238,223,<function recall at 0x7fa67b33a0d0>
26,10000,40,0.001,6,100.0,300.0,2647,18843,50,162,<function recall at 0x7fa67b33a0d0>
27,10000,40,0.002,6,100.0,300.0,2647,50086,50,188,<function recall at 0x7fa67b33a0d0>
28,10000,40,0.001,7,100.0,300.0,1360,9513,13,92,<function recall at 0x7fa67b33a0d0>
29,10000,40,0.002,7,100.0,300.0,1360,32711,13,148,<function recall at 0x7fa67b33a0d0>
30,10000,40,0.001,3,200.0,100.0,8433,79234,1594,308,<function recall at 0x7fa67b33a0d0>
31,10000,40,0.002,3,200.0,100.0,8433,124053,1594,133,<function recall at 0x7fa67b33a0d0>
32,10000,40,0.001,4,200.0,100.0,6736,53124,698,299,<function recall at 0x7fa67b33a0d0>
33,10000,40,0.002,4,200.0,100.0,6736,96297,698,204,<function recall at 0x7fa67b33a0d0>
34,10000,40,0.001,5,200.0,100.0,4343,33291,197,257,<function recall at 0x7fa67b33a0d0>
35,10000,40,0.002,5,200.0,100.0,4343,71721,197,223,<function recall at 0x7fa67b33a0d0>
36,10000,40,0.001,6,200.0,100.0,2180,18843,22,162,<function recall at 0x7fa67b33a0d0>
37,10000,40,0.002,6,200.0,100.0,2180,50086,22,188,<function recall at 0x7fa67b33a0d0>
38,10000,40,0.001,7,200.0,100.0,896,9513,0,92,<function recall at 0x7fa67b33a0d0>
39,10000,40,0.002,7,200.0,100.0,896,32711,0,148,<function recall at 0x7fa67b33a0d0>
40,10000,40,0.001,3,200.0,200.0,9062,79234,1654,308,<function recall at 0x7fa67b33a0d0>
41,10000,40,0.002,3,200.0,200.0,9062,124053,1654,133,<function recall at 0x7fa67b33a0d0>
42,10000,40,0.001,4,200.0,200.0,8137,53124,965,299,<function recall at 0x7fa67b33a0d0>
43,10000,40,0.002,4,200.0,200.0,8137,96297,965,204,<function recall at 0x7fa67b33a0d0>
44,10000,40,0.001,5,200.0,200.0,6480,33291,391,257,<function recall at 0x7fa67b33a0d0>
45,10000,40,0.002,5,200.0,200.0,6480,71721,391,223,<function recall at 0x7fa67b33a0d0>
46,10000,40,0.001,6,200.0,200.0,4415,18843,108,162,<function recall at 0x7fa67b33a0d0>
47,10000,40,0.002,6,200.0,200.0,4415,50086,108,188,<function recall at 0x7fa67b33a0d0>
